model,memory,cpu,batch,accuracy,latency/loading,latency
0,4096,4,1,18,0.43575386800000004,8.952448341
1,4096,4,1,22,0.45743271529999996,9.220503223
2,6144,4,1,24,0.5777491698,11.87176096
3,6144,4,1,28,1.1611287732000002,15.307086
4,8192,4,1,30,3.0368511514,22.570218389999997
5,8192,4,1,32,4.0269186573,21.292581579999997
0,4096,1,1,18,0.5979744847555543,9.990943499761963
0,4096,1,2,18,0.8798244651098633,9.407041093069457
0,4096,1,4,18,1.375571330382385,9.86869432564392
0,4096,1,6,18,1.7886028798361204,10.043974944311524
0,4096,1,8,18,2.2233087332983397,10.520444461065674
1,4096,1,1,22,0.7728889783163453,9.978845616537477
1,4096,1,2,22,1.1190282233496096,9.725975915151977
1,4096,1,4,22,1.810068791701355,10.948465319830323
1,4096,1,6,22,2.784663089110413,11.641410990911867
1,4096,1,8,22,3.513811095549622,12.779829474645997
2,6144,1,1,24,1.2370572217245486,12.696034880834961
2,6144,1,2,24,2.28436333019928,12.91481902237549
2,6144,1,4,24,3.727741339995423,14.242733164984132
2,6144,1,6,24,4.580801370932619,15.028348752218626
2,6144,1,8,24,5.380130637480775,15.972338792044066
3,6144,1,1,28,3.98447825749115,17.880744191366574
3,6144,1,2,28,6.4414117129583754,20.036631079870602
4,8192,1,1,30,10.037873979403535,29.433581598955534
0,4096,2,1,18,0.4576941569586182,8.729991694647216
0,4096,2,2,18,0.5689497025747682,8.781689139562987
0,4096,2,4,18,0.81488841374115,9.023389311987305
0,4096,2,6,18,1.0035997994680788,9.930243655401613
0,4096,2,8,18,1.293985045744934,9.552157708364868
1,4096,2,1,22,0.4967063411016846,9.603058406072998
1,4096,2,2,22,0.6935496361990358,9.545696374136352
1,4096,2,4,22,1.1334122117300416,10.372707625585937
1,4096,2,6,22,1.4644128926535034,10.220128365713501
1,4096,2,8,22,1.8584566815634154,10.744083615499878
2,6144,2,1,24,0.797979906394043,11.467540761190795
2,6144,2,2,24,1.1432624514837648,11.801394625860596
2,6144,2,4,24,1.8353991635580444,12.829538890081789
2,6144,2,6,24,2.2346146758337406,13.036756297308349
2,6144,2,8,24,3.0039596017141728,13.973073836523438
3,6144,2,1,28,2.0049847348471066,15.69445082779541
3,6144,2,2,28,3.5764129765768433,17.528329011160277
3,6144,2,4,28,6.37076861221985,19.563178225714108
3,6144,2,6,28,8.883376024558107,22.56686884995117
4,8192,2,1,30,5.959940679862062,24.66481430168762
4,8192,2,2,30,9.228473623587648,27.589139231401823
5,8192,2,1,32,7.526674774481814,24.7089428150238
0,4096,4,1,18,0.43613739840000004,8.775680228
0,4096,4,2,18,0.47973268860000007,9.28974373
0,4096,4,4,18,0.6171421036000001,9.030859586
0,4096,4,6,18,0.6871614442000001,9.171833774
0,4096,4,8,18,0.8223899541000002,9.374592468
